dataset,staid,records,first_date,last_date,mon_pt_lat,mon_pt_long,county,hide_from_public,reason
dtw,FS3D,12,2024-10-21,2025-09-23,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,FS3S,12,2024-10-21,2025-09-23,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,S004,1,2025-07-17,2025-07-17,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,S005,1,2025-07-17,2025-07-17,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,S006,1,2025-07-17,2025-07-17,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,S007,1,2025-07-17,2025-07-17,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T1000D,6,2025-03-31,2025-09-22,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T1000S,6,2025-03-31,2025-09-22,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T1001D,10,2025-01-28,2025-09-02,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T1001S,10,2025-01-28,2025-09-02,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T313B,12,2024-10-21,2025-09-25,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T936,12,2024-10-29,2025-09-18,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T937,12,2024-10-29,2025-09-18,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T938,12,2024-10-29,2025-09-18,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T939,12,2024-10-29,2025-09-18,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T940,12,2024-10-29,2025-09-18,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T977,12,2024-10-22,2025-09-23,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T978D,12,2024-10-22,2025-09-23,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T978S,12,2024-10-22,2025-09-23,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T979,12,2024-10-09,2025-09-22,NA,NA,NA,NA,Not in OVGA monitoring points list
dtw,T980,12,2024-10-09,2025-09-23,NA,NA,NA,NA,Not in OVGA monitoring points list
